voted_for,gender,education,age
Biden,Female,4-year,62
Trump,Male,Post-grad,40
Biden,Male,4-year,27
Biden,Female,Some college,23
Biden,Female,Some college,24
Biden,Male,4-year,72
Biden,Non-binary,High school graduate,28
Trump,Female,Some college,43
Biden,Male,Some college,52
Biden,Female,High school graduate,78
Trump,Male,4-year,54
Trump,Female,High school graduate,84
Biden,Female,4-year,25
Biden,Female,Post-grad,39
Biden,Female,Post-grad,75
Biden,Male,Post-grad,34
Trump,Male,High school graduate,57
Biden,Female,2-year,31
Biden,Male,4-year,73
Biden,Male,High school graduate,30
Biden,Female,2-year,58
Biden,Male,2-year,26
Biden,Female,High school graduate,48
Biden,Female,Some college,54
Biden,Male,High school graduate,55
Trump,Female,2-year,42
Biden,Female,High school graduate,66
Trump,Male,4-year,26
Biden,Male,Some college,69
Trump,Female,Post-grad,45
Trump,Female,4-year,39
Biden,Male,2-year,40
Biden,Female,Post-grad,37
Biden,Male,Post-grad,64
Biden,Female,High school graduate,85
Trump,Male,High school graduate,68
Biden,Male,4-year,53
Biden,Male,High school graduate,42
Trump,Female,4-year,72
Biden,Male,Some college,57
Trump,Female,Post-grad,56
Biden,Female,4-year,45
Biden,Female,Some college,64
Trump,Male,Post-grad,74
Trump,Male,Post-grad,73
Trump,Female,2-year,48
Trump,Male,Post-grad,66
Trump,Female,4-year,69
Trump,Male,High school graduate,56
Trump,Male,4-year,61
Trump,Male,4-year,68
Trump,Female,High school graduate,47
Trump,Female,Some college,66
Biden,Female,No HS,53
Biden,Female,4-year,78
Trump,Female,2-year,46
Biden,Female,High school graduate,65
Biden,Male,Some college,33
Biden,Female,4-year,55
Trump,Female,Post-grad,69
Trump,Female,High school graduate,82
Trump,Male,4-year,50
Biden,Male,High school graduate,85
Biden,Male,Post-grad,73
Trump,Female,4-year,84
Trump,Male,Some college,23
Biden,Male,No HS,56
Trump,Male,4-year,74
Biden,Male,Some college,48
Biden,Male,High school graduate,57
Trump,Male,2-year,29
Biden,Female,Some college,80
Trump,Male,2-year,75
Biden,Male,4-year,77
Biden,Male,Post-grad,66
Biden,Male,High school graduate,53
Biden,Female,Post-grad,72
Trump,Male,Some college,69
Biden,Female,High school graduate,63
Biden,Female,Some college,42
Biden,Female,4-year,34
Trump,Female,No HS,43
Biden,Female,High school graduate,66
Biden,Male,Post-grad,89
Trump,Male,High school graduate,81
Trump,Female,Post-grad,75
Biden,Female,4-year,27
Trump,Male,4-year,80
Biden,Male,Post-grad,66
Biden,Male,Post-grad,81
Biden,Female,High school graduate,60
Trump,Female,Some college,62
Trump,Male,Some college,73
Biden,Female,Post-grad,60
Trump,Female,Some college,76
Biden,Female,High school graduate,56
Biden,Male,4-year,77
Biden,Female,2-year,62
Biden,Female,High school graduate,59
Biden,Female,Post-grad,67
Trump,Male,Some college,80
Trump,Male,4-year,87
Trump,Female,4-year,31
Trump,Male,High school graduate,65
Trump,Male,Some college,66
Biden,Female,4-year,52
Trump,Female,4-year,72
Biden,Male,Post-grad,38
Trump,Female,Post-grad,32
Trump,Female,2-year,33
Trump,Male,High school graduate,58
Trump,Female,4-year,59
Biden,Female,High school graduate,58
Trump,Female,High school graduate,34
Trump,Female,2-year,37
Trump,Male,4-year,50
Trump,Male,4-year,75
Biden,Male,4-year,32
Trump,Male,4-year,67
Biden,Female,Post-grad,32
Trump,Female,Post-grad,69
Biden,Female,Post-grad,67
Biden,Male,Post-grad,77
Trump,Male,Post-grad,90
Trump,Male,Some college,73
Biden,Male,High school graduate,29
Biden,Male,Post-grad,81
Biden,Female,Post-grad,78
Trump,Male,4-year,78
Trump,Male,2-year,75
Biden,Male,4-year,75
Biden,Female,Post-grad,72
Trump,Male,4-year,80
Biden,Male,4-year,79
Trump,Male,4-year,77
Biden,Male,Some college,73
Biden,Male,4-year,60
Biden,Female,4-year,26
Biden,Male,2-year,70
Trump,Female,Some college,53
Trump,Female,High school graduate,34
Trump,Female,Post-grad,32
Trump,Male,High school graduate,57
Biden,Male,4-year,79
Trump,Male,4-year,70
Trump,Male,4-year,76
Trump,Male,Post-grad,78
Biden,Male,Some college,81
Biden,Male,4-year,75
Trump,Male,Post-grad,77
Trump,Female,High school graduate,28
Trump,Male,Post-grad,87
Trump,Female,Some college,24
Biden,Female,4-year,74
Trump,Female,Post-grad,81
Biden,Male,Post-grad,27
Biden,Male,Some college,73
Biden,Male,4-year,77
Biden,Male,2-year,50
Biden,Female,4-year,74
Biden,Female,Post-grad,81
Biden,Male,Post-grad,70
Biden,Female,Some college,67
Biden,Female,2-year,83
Trump,Male,Post-grad,75
Trump,Male,4-year,67
Trump,Male,4-year,60
Biden,Female,4-year,51
Biden,Male,Post-grad,87
Trump,Male,High school graduate,28
Biden,Male,Post-grad,68
Trump,Female,Post-grad,34
Trump,Female,Post-grad,35
Biden,Male,4-year,76
Biden,Female,Some college,67
Trump,Male,Some college,75
Biden,Male,Post-grad,78
Biden,Male,4-year,67
Trump,Female,Some college,60
Trump,Female,2-year,70
Trump,Male,4-year,49
Trump,Male,Post-grad,78
Trump,Male,Post-grad,73
Biden,Male,Post-grad,73
Trump,Female,2-year,72
Trump,Male,Some college,51
Biden,Female,4-year,73
Trump,Male,Post-grad,85
Trump,Male,2-year,66
Trump,Male,Post-grad,73
Biden,Female,Some college,57
Biden,Male,Some college,81
Trump,Male,2-year,62
Trump,Male,4-year,65
Biden,Male,High school graduate,61
Biden,Female,Some college,58
Trump,Male,4-year,73
Biden,Male,4-year,84
Trump,Female,Some college,79
Biden,Male,High school graduate,30
Trump,Male,4-year,77
Biden,Non-binary,High school graduate,24
Biden,Male,Post-grad,81
Trump,Female,Post-grad,71
Biden,Female,Post-grad,54
Trump,Male,4-year,53
Biden,Female,4-year,81
Biden,Female,Some college,88
Trump,Male,4-year,87
Trump,Male,Some college,72
Biden,Male,Some college,72
Biden,Male,4-year,74
Biden,Female,Post-grad,41
Biden,Male,2-year,75
Trump,Male,4-year,38
Biden,Male,Some college,66
Biden,Female,Post-grad,73
Biden,Female,Post-grad,77
Biden,Female,High school graduate,55
Trump,Female,Some college,82
Biden,Female,High school graduate,64
Biden,Female,High school graduate,56
Biden,Male,4-year,83
Biden,Male,Some college,59
Biden,Female,2-year,56
Trump,Male,Post-grad,76
Biden,Female,2-year,53
Biden,Female,Some college,63
Biden,Male,Some college,65
Trump,Female,2-year,77
Biden,Male,4-year,66
Biden,Female,4-year,70
Trump,Male,4-year,73
Biden,Female,4-year,64
Trump,Female,High school graduate,53
Trump,Male,4-year,79
Biden,Female,4-year,81
Biden,Female,Some college,58
Biden,Female,Some college,56
Trump,Male,4-year,66
Biden,Female,Post-grad,76
Trump,Female,2-year,60
Biden,Female,4-year,78
Trump,Female,Some college,68
Biden,Female,Some college,82
Biden,Male,4-year,69
Trump,Female,Some college,60
Biden,Female,Post-grad,54
Trump,Male,4-year,74
Trump,Female,High school graduate,63
Biden,Male,2-year,27
Trump,Male,Some college,81
Biden,Female,Post-grad,73
Trump,Male,High school graduate,77
Trump,Male,4-year,79
Biden,Female,4-year,51
Trump,Male,Some college,85
Biden,Male,4-year,85
Biden,Female,Post-grad,70
Biden,Female,4-year,53
Trump,Male,High school graduate,71
Trump,Male,High school graduate,70
Trump,Male,4-year,58
Biden,Male,Post-grad,57
Biden,Male,4-year,64
Biden,Non-binary,Some college,23
Trump,Male,Post-grad,74
Biden,Male,4-year,56
Biden,Male,4-year,60
Trump,Female,4-year,37
Trump,Male,4-year,64
Trump,Male,4-year,76
Trump,Male,4-year,62
Trump,Female,High school graduate,64
Biden,Male,4-year,70
Biden,Male,Post-grad,77
Trump,Male,2-year,68
Biden,Female,High school graduate,81
